distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type,,,
304,4.72307,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,0,,,
409,5.013,14.74,Jupiter,1.09,Jupiter,1.53,1.4,0.08,0,,,
246,5.23133,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0,0,,,
58,6.61935,8.13881,Jupiter,1.12,Jupiter,2.773069,4.8,0.37,0,,Gas Giant,0
69,6.215,1.78,Jupiter,1.2,Jupiter,1.66,2.2,0.68,0,,Neptune Like,1
408,5.22606,4.32,Jupiter,1.15,Jupiter,1.45,1.6,0.06,0,,Super earth,2
249,5.51048,10.3,Jupiter,1.11,Jupiter,2.6,2.7,0.08,0,,Terrestrial,3
454,12.618,8,Jupiter,1.664,Jupiter,330,6505.9,0,0,,,
313,5.59,0.91,Jupiter,1.24,Jupiter,0.19,0.08323066,0.04,0,,,
235,6.4535,1.99,Jupiter,1.19,Jupiter,1.333,1.2396988,0.09,0,,,
235,6.4535,0.86,Jupiter,1.24,Jupiter,2.08,2.4,0.29,0,,,
419,16.186,4,Jupiter,1.16,Jupiter,118,3110.6,0,0,,,
154,15.788,13,Jupiter,1.1,Jupiter,84,1767.2,0,0,,,
110,14.244,24.5,Jupiter,1,Jupiter,52,593.2,0,0,,,
131,,13.9,Jupiter,1.44,Jupiter,156,5878.1,0,0,,,
393,,7.5,Jupiter,1.13,Jupiter,15,411,0,0,,,
210,20.15,5,Jupiter,1.15,Jupiter,55,2885.9,0,0,,,
1293,12.651,1.9,Jupiter,1.2,Jupiter,0.92,1.1115674,0.33,0,,,
227,12.368,12.5,Jupiter,1.1,Jupiter,230,4505.7,0,0,,,
146,7.09209,13.82,Jupiter,1.1,Jupiter,0.99,0.9174538,0.29,0,,,
296,4.8262,3.88,Jupiter,1.16,Jupiter,1.19,1.3117043,0.38,0,,,
45,5.03352,2.53,Jupiter,1.18,Jupiter,2.1,3,0.03,0,,,
45,5.03352,0.54,Jupiter,1.27,Jupiter,3.6,6.6,0.1,0,,,
45,5.03352,1.64,Jupiter,1.2,Jupiter,11.6,38.4,0.16,0,,,
240,4.5801,7.1,Jupiter,1.13,Jupiter,0.87,0.7373032,0.43,0,,,
97,5.21149,2,Jupiter,1.19,Jupiter,13.2,32,0.45,0,,,
50,5.45309,0.46,Jupiter,1.27,Jupiter,0.0527,0.011498973,0.01,0,,,
41,5.95084,0.8306,Jupiter,1.24,Jupiter,0.1134,0.040246405,0,0,,,
