distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type
304,4.72307,19.4,1,1.08,1,1.29,0.8925394,0.23,0
409,5.013,14.74,1,1.09,1,1.53,1.4,0.08,0
246,5.23133,4.8,1,1.15,1,0.83,0.5086927,0,0
58,6.61935,8.13881,1,1.12,1,2.773069,4.8,0.37,0
69,6.215,1.78,1,1.2,1,1.66,2.2,0.68,0
408,5.22606,4.32,1,1.15,1,1.45,1.6,0.06,0
249,5.51048,10.3,1,1.11,1,2.6,2.7,0.08,0
454,12.618,8,1,1.664,1,330,6505.9,0,0
313,5.59,0.91,1,1.24,1,0.19,0.08323066,0.04,0
235,6.4535,1.99,1,1.19,1,1.333,1.2396988,0.09,0
235,6.4535,0.86,1,1.24,1,2.08,2.4,0.29,0
419,16.186,4,1,1.16,1,118,3110.6,0,0
154,15.788,13,1,1.1,1,84,1767.2,0,0
110,14.244,24.5,1,1,1,52,593.2,0,0
210,20.15,5,1,1.15,1,55,2885.9,0,0
1293,12.651,1.9,1,1.2,1,0.92,1.1115674,0.33,0
227,12.368,12.5,1,1.1,1,230,4505.7,0,0
146,7.09209,13.82,1,1.1,1,0.99,0.9174538,0.29,0
296,4.8262,3.88,1,1.16,1,1.19,1.3117043,0.38,0
45,5.03352,2.53,1,1.18,1,2.1,3,0.03,0
45,5.03352,0.54,1,1.27,1,3.6,6.6,0.1,0
45,5.03352,1.64,1,1.2,1,11.6,38.4,0.16,0
240,4.5801,7.1,1,1.13,1,0.87,0.7373032,0.43,0
97,5.21149,2,1,1.19,1,13.2,32,0.45,0
50,5.45309,0.46,1,1.27,1,0.0527,0.011498973,0.01,0
41,5.95084,0.8306,1,1.24,1,0.1134,0.040246405,0,0
41,5.95084,0.1714,1,0.76,1,0.2373,0.12156058,0.03,0
41,5.95084,3.878,1,1.16,1,5.957,15.3,0.13,0
41,5.95084,0.141,1,0.677,1,0.7708,0.7115674,0.08,0
178,5.87307,2.01,1,1.19,1,2.11,2.6,0.07,0
58,4.96808,7.49,1,1.13,1,0.481,0.31950718,0.4,0
271,5.3532,3,1,1.17,1,2.1,1.9,0.12,0
65,3.95,1.85,1,1.2,1,1.758,2,0.06,0
65,3.95,0.87,1,1.24,1,2.153,2.7,0.08,0
330,5.64307,5.3,1,1.14,1,2.5,2.6,0.21,0
530,6.83295,1.31,1,1.22,1,0.49,0.25571528,0.06,0
144,4.23946,3.2,1,1.17,1,0.7,0.4966461,0.03,0
529,7.076,9,1,1.12,1,93.9,587.7,0.4,0
163,9.13,13.5,1,1.1,1,260,4421.7,0,0
66,2.00538,1.8,1,1.2,1,1.2,1.0425736,0.25,0
67,0.872,6.47,1,1.13,1,1.46,1.7,0.1,0
320,4.01,10.9,1,1.11,1,556,4904.1,0.4,0
139,9.01,25.05,1,1.07,1,1.48,2,0.39,0
3492,9.577,6.4,1,1.13,1,1.3,1.3193703,0.2,0
66,9.7,0.17,1,0.747,1,0.435,0.34469542,0.31,0
135,9.86,0.33,1,1.11,1,0.68,0.65051335,0.19,0
275,10.013,0.59,1,1.26,1,0.04,0.009582478,0.02,0
89,10.03,0.65,1,1.25,1,2.36,4.5,0.05,0
3018,10.038,9.78,1,1.11,1,1.66,2,0.21,0
161,9.78,1.04,1,1.23,1,0.78,0.7362081,0.29,0
2505,10.41,1.061,1,1.23,1,0.576,0.41943872,0,0
1391,9.01,1.11,1,1.23,1,0.539,0.37645447,0.26,0
112,9.62,5.1,1,1.15,1,1.34,1.8,0.54,0
5023,9.743,55.59,1,1.03,1,1.05,1.0392882,0.15,0
5023,9.743,12.47,1,1.1,1,2.01,1.7,0.18,0
4314,9.367,4.2,1,1.16,1,1.3,1.6,0.21,0
175,9.67,1.36,1,1.21,1,0.83,0.84298426,0.12,0
2843,9.139,0.91,1,1.24,1,1,1.0748802,0.2,0
2174,8.69,1.7,1,1.2,1,1.7,2,0.76,0
1442,9.381,1.6,1,1.21,1,4.2,7.1,0.35,0
171,9.38,0.72,1,1.25,1,0.78,0.7271732,0.27,0
147,9.374,15,1,1.31,1,1662,67794.6,0,0
124,8.96,3.96,1,1.16,1,2.06,3.3,0.88,0
290,3.51012,7.8,1,1.12,1,1.7,1.7,0.08,0
64,3.85,11.73313,1,1.65,1,10.019926,23.6,0.11,0
64,3.85,10.14112,1,1.11,1,2.680483,3.3,0.31,0
126,2.0569,6.1,1,1.14,1,1.4,1.4,0.19,0
36,11.298,6.3,1,1.11,1,7506,1101369.9,0,0
1104,15.293,2.75,1,0.97,1,0.1055,0.03613963,0.53,0
2137,12.897,2.33,1,1.43,1,0.0436,0.008213553,0,0
3674,15.588,0.917,1,1.44,1,0.04016,0.007665982,0.07,0
3748,15.005,1.308,1,0.885,1,0.051,0.010951404,0,0
5691,15.932,7.6,1,1.09,1,0.027,0.004106776,0,0
2389,16.052,0.535,1,1.17,1,0.0618,0.014784395,0.33,0
3837,16.29,2.43,1,1.02,1,0.0461,0.010403832,0,0
2495,14.868,3.47,1,1.31,1,0.0295,0.005201916,0.08,0
2579,14.135,1.11,1,1.29,1,0.0518,0.010677618,0.05,0
2570,13.623,1.03,1,1.49,1,0.02752,0.004106776,0,0
2753,14.63,4.3,1,0.84,1,0.09,0.025188226,0.59,0
2753,14.63,17,1,1.09,1,2.9,4.6,0.6,0
4563,16.058,2.26,1,1.3,1,0.0417,0.007392197,0,0
3461,15.675,2.8,1,1.05,1,0.048,0.009856262,0.16,0
3600,14.79,0.27,1,1.08,1,0.0578,0.013415469,0,0
3409,15.861,0.52,1,1.26,1,0.0526,0.011498973,0,0
3296,15.774,10.39,1,1.007,1,0.0476,0.009856262,0.065,0
2499,13.783,0.484,1,0.955,1,0.0603,0.014236824,0.05,0
2631,15.408,0.85,1,0.9,1,0.0386,0.007939767,0.08,0
